식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그,소재지도로명,업태명,주된음식,영업장면적(평),행정동명,소재지전화번호,제로식당
옛날할머니보쌈,동대문구,N,Y,N,N,N,모범음식점,"서울특별시 동대문구 이문로 100, 2층 (이문동)",한식,오리구이,59.0,이문제1동,029675292, 
원당감자탕,금천구,N,N,N,Y,N,모범음식점,"서울특별시 금천구 가산디지털1로 70, (가산동,호서대벤처타워 105호)",한식,-,51.6,가산동,0226275353, 
석촌냉면,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 백제고분로37길 6, 지상1층 (석촌동)",한식,냉면,39.9,석촌동,024213234, 
우리마을셀프장어네,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 곰달래로 254, 1층 (화곡동, 4동)",한식,장어,57.0,화곡제4동,226522284, 
만복식당,성북구,N,N,N,N,N,모범음식점,"서울특별시 성북구 개운사길 34, 지1층 (안암동5가)",한식,삼겹살,32.9,안암동,-, 
태백숯불갈비,강북구,Y,Y,N,Y,N,모범음식점,"서울특별시 강북구 한천로 1072, (수유동)",한식,돼지갈비,45.3,수유제3동,029904176, 
린궁즈,양천구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 양천구 목동동로8길 3, 2층 (신정동)",중식,자장면,39.9,신정2동,226455999, 
권참치,중랑구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 사가정로 377, 보린약국 1층 (면목동)",일식,참치,29.0,면목제3.8동,024351186, 
이북집 찹쌀순대,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 법원로 114, E동 B-127호 (문정동, 엠스테이트)",한식,순대국,29.3,문정1동,222831600, 
청춘남원추어탕,노원구,Y,N,N,Y,N,모범음식점,"서울특별시 노원구 동일로 1383, 108호 (상계동, 상계주공3단지아파트)",한식,추어탕,8.6,상계6.7동,029318242, 
도치피자 강변,광진구,N,N,N,N,N,포장가능,"서울특별시 광진구 아차산로62길 14-4, 1,2층 (구의동)",양식,피자,49.5,구의제3동,024468006, 
일일향,송파구,Y,Y,N,N,Y,"모범음식점,포장가능","서울특별시 송파구 석촌호수로 290, 성우빌딩 지하1,지상1,2층  호 (송파동)",한식,"전가복, 탕수",255.1,송파1동,024218900, 
명태이야기,노원구,Y,N,N,N,Y,모범음식점,"서울특별시 노원구 석계로18길 13, (월계동)",한식,버섯샤브,13.3,월계1동,9431121, 
홍이네,마포구,N,N,N,N,N,-,"서울특별시 마포구 마포대로8안길 18, (공덕동,지상2층)",한식,부대찌개,32.7,공덕동,-, 
온량,성동구,N,Y,N,N,N,모범음식점,"서울특별시 성동구 서울숲4길 26-10, 1층 (성수동1가)",양식,파스타,24.3,성수1가제1동,-, 
정대감감자탕,동대문구,Y,N,N,N,Y,"모범음식점,포장가능","서울특별시 동대문구 천호대로83길 46, 1층 (장안동)",한식,뼈해장국,62.9,장안제1동,0222422533, 
웰빙푸드,금천구,N,N,N,N,N,모범음식점,"서울특별시 금천구 디지털로9길 32, (가산동,갑을그레이트밸리 B101호)",한식,한식,191.8,가산동,028393400, 
용산화로,용산구,N,Y,N,N,Y,모범음식점,"서울특별시 용산구 한강대로76길 21-11, (남영동,(지상1층))",한식,소고기구이,13.0,남영동,027932968, 
합정오리농장,은평구,N,N,N,N,N,모범음식점,"서울특별시 은평구 증산로23길 27, 2층 (신사동)",한식,오리백숙,25.0,신사제1동,023035833, 
아구세상,송파구,N,N,N,N,N,포장가능,"서울특별시 송파구 양재대로62길 8, 지상1층 (가락동)",한식,수제비,39.9,가락본동,024316938, 
팔도미락,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 우장산로 123, 태정빌딩 2층 (화곡동)",일식,계절요리,48.6,화곡제6동,226077161, 
한마루가든,동작구,Y,Y,N,N,Y,모범음식점,"서울특별시 동작구 여의대방로 250, 대림아파트(상가동) 4층 410호 (대방동)",한식,삼겹살,29.1,대방동,028260119, 
푸드엠파이어 이대서울병원 청진동순두부,강서구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",한식,순두부찌개,42.0,발산제1동,221352465, 
조박집투,마포구,Y,Y,N,Y,N,"모범음식점,안심식당,트립어드바이저,포장가능","서울특별시 마포구 토정로 311, (용강동, 1층)",한식,소갈비,21.2,용강동,7184410, 
바다양푼이찌개마을,마포구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 마포구 월드컵북로54길 17, B114호 (상암동, 사보이시티디엠씨)",한식,동태찌개,18.0,상암동,-, 
신안촌,종로구,N,Y,N,N,Y,모범음식점,"서울특별시 종로구 사직로12길 8, (내자동,,153,154-1,155-1 (1층))",분식,"낙지, 홍어",30.2,사직동,027257744, 
만다리,중구,Y,N,N,N,N,모범음식점,"서울특별시 중구 다산로22길 17, (신당동)",중식,자장면,23.1,청구동,222367615, 
옛날농장,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 봉천로 262, 1층 (신림동)",한식,-,79.9,신림동,028732280, 
목포낙지,중구,Y,N,N,Y,N,모범음식점,"서울특별시 중구 다산로36길 8, (신당동)",한식,낙지찜,32.7,동화동,222322362, 
군산해물탕,강북구,Y,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 강북구 한천로139길 41, (수유동)",한식,해물탕,29.9,수유제3동,029035211, 
욕지도,마포구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 마포구 마포대로 180-13, 영지공덕빌딩 1층 (공덕동)",일식,막썰이회,73.1,염리동,023136007, 
본전회관,서대문구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",한식,돼지갈비,187.1,남가좌제2동,-, 
임가네해물천국,마포구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 망원로 49-1, (망원동)",한식,아구해물탕,32.5,망원제1동,023237563, 
아구랑꽃게랑,중구,Y,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 중구 동호로24길 35-5, (장충동2가, 1층)",한식,아구찜,15.3,장충동,222635554, 
예담밥상,광진구,Y,N,N,N,N,"모범음식점,씨트립,포장가능","서울특별시 광진구 동일로22길 13, (화양동)",한식,한정식,21.9,화양동,024690072, 
마산아구찜,마포구,N,N,N,N,N,-,"서울특별시 마포구 월드컵로1길 30, (합정동)",한식,아구찜,24.5,합정동,023255523, 
태진복집,종로구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 종로구 자하문로10길 10-24, 지상1,2층 (통의동)",일식,복지리,70.6,사직동,207333730, 
신서방 부대찌개,송파구,Y,N,N,Y,N,모범음식점,"서울특별시 송파구 오금로46길 16, (가락동)",한식,부대찌개,22.6,가락2동,024493670, 
한류관,영등포구,Y,Y,N,Y,N,"모범음식점,씨트립","서울특별시 영등포구 국회대로 750, (여의도동)",한식,한정식,41.3,여의동,237752838, 
큰마루,강동구,N,N,N,Y,N,-,"서울특별시 강동구 동남로73길 23, (명일동)",한식,"고기,냉면",52.6,명일제2동,024290535, 
고향집손칼국수,강동구,Y,N,N,Y,N,모범음식점,"서울특별시 강동구 동남로73길 23, 1층 (명일동)",분식,칼국수,26.8,명일제2동,024291222, 
무공해숯불갈비,마포구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 마포구 만리재로1길 8, (공덕동)",한식,돼지갈비,15.7,아현동,027164296, 
목포낙지마을,마포구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 월드컵로32길 11, (성산동)",한식,"연포탕, 낙지볶음",19.9,성산제1동,023331032, 
정동진,동작구,N,N,N,N,N,"모범음식점,안심식당,트립어드바이저","서울특별시 동작구 만양로 85, (노량진동)",한식,영양삼계탕,22.1,노량진제1동,028152250, 
막내회센타,영등포구,N,N,N,Y,N,"모범음식점,블루리본,안심식당,트립어드바이저","서울특별시 영등포구 도신로53길 7, (신길동,지상2층)",일식,생선회,21.6,영등포본동,028446150, 
양산박,마포구,N,N,N,N,Y,"모범음식점,안심식당","서울특별시 마포구 마포대로4길 37, (도화동,1층)",한식,콩나물국밥,20.6,도화동,027110888, 
대우정,용산구,N,N,N,N,N,모범음식점,"서울특별시 용산구 후암로57길 7, (동자동,(지상1,2층))",한식,돼지고기구이,40.9,남영동,027529685, 
한우명가,서대문구,Y,N,N,N,N,-,"서울특별시 서대문구 연희로 46-1, (연희동)",한식,소갈비,13.0,연희동,-, 
하나유키,마포구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 마포구 마포대로 25, (마포동)",일식,정통일식,117.5,용강동,7160011, 
나주관,강동구,Y,Y,N,Y,Y,"모범음식점,안심식당","서울특별시 강동구 강동대로53길 31, (성내동,(1층))",한식,곰탕,39.3,성내제3동,266777766, 
강동일식,강동구,Y,N,N,N,N,"모범음식점,안심식당,트립어드바이저","서울특별시 강동구 동남로73길 17, (명일동,우진빌딩)",일식,모둠회,17.0,명일제2동,024410566, 
청해진,동작구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 동작구 노들로 674, 지상2층 20호 (노량진동)",일식,회정식,55.0,노량진제2동,222548950, 
가시리,강남구,Y,N,N,Y,N,-,"서울특별시 강남구 논현로79길 64, (역삼동,지상1층)",한식,보리굴비,42.4,역삼1동,025675829, 
창포,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 선릉로62길 19, (대치동)",한식,손만두,45.5,대치4동,025010155, 
14일의 설레임,양천구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 양천구 월정로 20, 1층 (신월동)",한식,삼겹살,35.7,신월2동,226937997, 
부자돼소,중랑구,N,Y,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 봉우재로 126, (면목동)",뷔페,뷔페,45.2,면목본동,024388868, 
홍보석,영등포구,Y,Y,N,Y,Y,"모범음식점,씨트립,안심식당,트립어드바이저","서울특별시 영등포구 의사당대로 108, (여의도동)",중식,잡탕밥,164.0,여의동,027836622, 
홍린,강서구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 강서구 우장산로15길 25, 1~3층 (화곡동)",중식,탕수육,98.8,화곡제6동,226086556, 
박할매쭈꾸미,강북구,N,Y,N,N,N,"모범음식점,포장가능","서울특별시 강북구 도봉로10나길 5, (미아동,(분수대2길 5))",한식,쭈꾸미,13.8,송중동,029854998, 
개성숯불갈비,중랑구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 겸재로 261, (망우동)",한식,돼지갈비,54.6,망우제3동,024937833, 
월매네남원추어탕,마포구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 마포구 마포대로14길 19-1, (공덕동,1층)",한식,추어탕,46.3,공덕동,027045333, 
큰대문집,성북구,N,N,N,N,N,트립어드바이저,"서울특별시 성북구 종암로14길 6-21, (종암동)",한식,갈비탕,24.0,종암동,029130901, 
잠실영양센타,송파구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 송파구 백제고분로7길 14, (잠실동)",분식,삼계탕,76.2,잠실본동,024243996, 
김가네곱창구이,구로구,Y,Y,N,N,N,모범음식점,"서울특별시 구로구 도림로 93, (구로동)",한식,모듬곱창,17.9,구로제4동,028670445, 
용수사,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 삼성로86길 7, (대치동,지상2층)",일식,회,90.1,대치2동,025671516, 
후지,강남구,Y,Y,N,N,Y,-,"서울특별시 강남구 삼성로86길 23, (대치동,지하1층,지상1층)",일식,대게요리,85.3,대치4동,025679880, 
촌장골,강서구,Y,Y,Y,N,Y,"모범음식점,씨트립,안심식당,포장가능","서울특별시 강서구 양천로 59, 2층 (방화동)",한식,촌장소왕구이,137.5,방화제1동,226618592, 
광시생고기,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 관악로30길 15, 1층 (봉천동)",한식,-,66.6,청림동,028837700, 
토말,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 선릉로121길 13, 지상1, 2층 (논현동)",한식,보리굴비,121.0,논현1동,-, 
월매네남원추어탕,중구,N,N,N,Y,N,모범음식점,"서울특별시 중구 서소문로 109-8, (서소문동)",한식,추어탕,28.0,소공동,027579680, 
서우샤브샤브,강북구,N,N,N,N,N,모범음식점,"서울특별시 강북구 도봉로 213, (미아동,(도봉로213)(지상2층))",한식,샤브샤브,87.3,미아동,029839446, 
박가네 빈대떡,종로구,N,N,N,Y,Y,"모범음식점,안심식당,포장가능","서울특별시 종로구 동호로 403-16, 1~2층 (종로5가)",한식,육회,22.6,종로5.6가동,-, 
고추찜닭,동작구,Y,N,N,N,Y,"모범음식점,안심식당,포장가능","서울특별시 동작구 동작대로27가길 14, (사당동)",한식,찜닭,14.0,사당제2동,025921125, 
부산회집,송파구,Y,N,N,N,Y,모범음식점,"서울특별시 송파구 올림픽로35길 94, (신천동,장미C상가 2,3,4호)",일식,생선회,65.3,잠실4동,024184624, 
전주식당,은평구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 은평구 대서문길 15-7, (진관동,지상1~2층, 지하1층)",한식,갈비,130.6,진관동,023553300, 
족발마루,은평구,N,N,N,N,N,"모범음식점,포장가능","서울특별시 은평구 응암로21가길 30, 1층 (응암동)",한식,돼지족발,18.2,응암제1동,023030021, 
착한낙지,은평구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 은평구 연서로 322, 1,2층 (불광동)",한식,"낙지볶음, 연포탕",60.5,불광제2동,023538113, 
뚝배기손칼국수,강동구,N,N,N,Y,N,모범음식점,"서울특별시 강동구 천호대로 1187, (길동)",한식,칼국수,24.3,길동,024742027, 
흑돈가,영등포구,Y,N,N,Y,Y,"모범음식점,안심식당,트립어드바이저","서울특별시 영등포구 여의대방로69길 23, (여의도동,지하1층,지상1층,지상2층)",한식,흑돼지 생구이,442.0,여의동,027838800, 
지하오,강남구,Y,Y,N,N,Y,"모범음식점,포장가능","서울특별시 강남구 논현로64길 34, (역삼동,지상1층)",중식,찹쌀탕수육,19.0,역삼2동,025589119, 
사조미가,서대문구,Y,Y,N,Y,Y,"모범음식점,안심식당","서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",한식,한정식,163.1,충현동,-, 
고기마을 호수,금천구,N,N,N,N,N,모범음식점,"서울특별시 금천구 벚꽃로 73, (독산동,금천현대아파트 상가동 201호)",한식,-,22.8,독산제1동,-, 
댓짱돈까스,서초구,Y,Y,N,Y,Y,"모범음식점,트립어드바이저,포장가능","서울특별시 서초구 방배중앙로 204, 1층 101호, 102호, 106호 (방배동, 리첸시아방배)",한식,돈가스,42.6,방배본동,025347009, 
도일처,강서구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 강서구 개화동로 567, 1~2층 (방화동)",중식,누룽지해물탕,36.0,방화제2동,226622322, 
원조닭칼국수,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 논현로10길 13, (개포동,지상1층)",분식,닭칼국수,26.0,개포4동,234614424, 
개성집,강남구,N,N,N,N,N,-,"서울특별시 강남구 봉은사로1길 6, (논현동,지상1층)",한식,삼겹살,49.9,논현1동,025478526, 
알천생태찌개,송파구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 송파구 백제고분로9길 6, A동 지상1층 (잠실동)",한식,-,44.8,잠실본동,222026633, 
역촌왕돈까스,은평구,Y,N,N,N,N,모범음식점,"서울특별시 은평구 진흥로 121-1, 1,2층 (대조동)",양식,돈까스,33.1,대조동,023840269, 
평양면옥,중구,Y,N,N,N,Y,"모범음식점,미쉐린 가이드,블루리본","서울특별시 중구 장충단로 207, (장충동1가,, 26 - 32 (1층))",한식,냉면,57.1,장충동,222677784, 
더함,용산구,Y,Y,N,N,Y,모범음식점,"서울특별시 용산구 청파로47길 52, 2층 201,203호 (청파동2가)",한식,한정식,82.3,청파동,027073692, 
서초갈비,서초구,Y,Y,N,N,Y,"모범음식점,블루리본,트립어드바이저","서울특별시 서초구 반포대로 12, 2층 (서초동)",한식,등심,56.6,서초제3동,025822988, 
구레스시,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 강남대로 390, (역삼동)",일식,초밥,99.9,역삼1동,0264691199, 
더 센다이,마포구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 큰우물로 75, 지하1층 18,19호 (도화동)",한식,생선회,41.8,도화동,-, 
안동찜닭 해물떡찜,강남구,N,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 강남구 영동대로 513, 지하1층 M109호 (삼성동, B1 코엑스몰)",한식,안동찜닭,20.1,삼성1동,260026447, 
하동관,강남구,N,N,N,N,N,"모범음식점,포장가능","서울특별시 강남구 영동대로 513, 지하1층 J-101호 (삼성동, 코엑스 기존컨벤션센터)",한식,한우곰탕,61.2,삼성1동,-, 
김앤김대게,마포구,Y,Y,N,Y,Y,"모범음식점,씨트립,안심식당,포장가능","서울특별시 마포구 양화로 100, (서교동, 3층)",한식,킹크랩,106.9,서교동,3336659, 
포짜오,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 오금로46길 8, 1층 (가락동)",아시안음식,쌀국수,20.5,가락본동,-, 
성수동양갈비,성동구,Y,Y,N,N,N,모범음식점,"서울특별시 성동구 성수일로12길 33, (성수동2가,지상1층)",한식,양고기,20.9,성수2가제1동,024974987, 
명가들깨칼국수,양천구,Y,N,N,N,N,모범음식점,"서울특별시 양천구 은행정로 12, 1층 (신정동)",한식,칼국수,29.7,신정1동,226533070,Y
팔보,용산구,N,N,N,Y,N,모범음식점,"서울특별시 용산구 원효로 70, (원효로4가, 118-1 지상2층)",중식,전가복,45.3,원효로제2동,027157079, 
참복집,마포구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 만리재로1길 14, (공덕동)",일식,복지리,10.4,아현동,027151198, 
코바코,광진구,N,N,N,N,N,"모범음식점,포장가능","서울특별시 광진구 강변역로4길 10, (구의동,(103호))",분식,돈가스,8.8,구의제3동,024447893, 
소미연,송파구,Y,N,N,N,N,모범음식점,"서울특별시 송파구 가락로 86, 1층 (석촌동)",한식,"짜장면,탕수육",53.4,석촌동,024138887, 
마포원조주물럭,마포구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 토정로 294, (용강동)",한식,주물럭,62.2,용강동,027193001, 
오마니 오리구이,강북구,N,N,N,N,N,모범음식점,"서울특별시 강북구 도봉로10라길 2, (미아동,(지상1층))",한식,오리로스,14.5,송중동,029895292, 
청종나주곰탕,중구,N,N,N,N,N,모범음식점,"서울특별시 중구 삼일대로 330, 평화빌딩 지하1층 (저동1가)",한식,칼국수,60.9,명동,222739191, 
참맛감자탕,중구,Y,N,N,N,N,모범음식점,"서울특별시 중구 다산로 107, (신당동,(1층))",한식,감자탕,59.0,다산동,222310240, 
김선장횟집,강동구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 강동구 올림픽로98길 49, 가나안빌딩1 지1층 (암사동)",일식,회,29.0,암사제1동,024417706, 
삼수갑산,관악구,Y,Y,N,Y,Y,"모범음식점,안심식당","서울특별시 관악구 남현1길 38-9, 2,3층 (남현동)",한식,-,97.4,남현동,025830012, 
한성칼국수,강남구,N,N,N,N,Y,"모범음식점,블루리본,포장가능","서울특별시 강남구 언주로148길 14, 청호불교문화원 가동 지상2층 (논현동)",한식,"칼국수, 수육, 모듬전",100.5,논현1동,025440540, 
황해도찹쌀순대,도봉구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 마들로 659, (방학동,(지상1층))",한식,곰탕,20.0,방학제1동,029548081, 
지호한방삼계탕,강동구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 강동구 올림픽로 813, (암사동)",한식,삼계탕,39.9,암사제2동,024413318, 
지호한방삼계탕,은평구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 은평구 연서로 47, 1층 (역촌동)",한식,삼계탕,32.1,역촌동,023893343, 
지호한방삼계탕,은평구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 은평구 서오릉로 222, 2층 (갈현동)",한식,삼계탕,82.4,갈현제2동,023552110, 
송화양꼬치,광진구,Y,N,N,N,Y,트립어드바이저,"서울특별시 광진구 동일로18길 70, (자양동)",중식,양꼬치,38.5,자양제4동,024627826, 
용금옥,종로구,N,N,N,Y,N,"모범음식점,미쉐린 가이드,블루리본","서울특별시 종로구 자하문로 41-2, (통인동)",한식,추어탕,23.2,청운효자동,027774749, 
오양회참치,중구,Y,N,N,N,Y,모범음식점,"서울특별시 중구 세종대로21길 49, (태평로1가)",일식,참치,165.3,명동,027361001, 
제주바당,양천구,N,N,N,N,Y,"모범음식점,안심식당","서울특별시 양천구 신목로14길 6-1, 1층 101호 (신정동)",한식,생선조림,39.9,신정2동,226424604, 
도쿄커틀릿,성북구,N,N,N,N,N,모범음식점,"서울특별시 성북구 동소문로22길 57-1, (동선동2가)",한식,돈까스,14.5,동선동,029299292, 
김용희 참치,노원구,N,Y,N,N,Y,모범음식점,"서울특별시 노원구 동일로176길 3, 1층 (공릉동)",일식,참치회,44.6,공릉1동,029794042, 
대방골,영등포구,Y,Y,N,Y,N,"모범음식점,블루리본,안심식당","서울특별시 영등포구 국회대로 800, 여의도파라곤 지하1층 B114~125호 (여의도동)",한식,한정식,136.3,여의동,027834999, 
시골집,관악구,N,N,N,N,N,트립어드바이저,"서울특별시 관악구 낙성대로 22-7, (봉천동)",한식,-,28.1,낙성대동,028747333, 
시골명가,관악구,N,Y,N,N,N,"모범음식점,안심식당","서울특별시 관악구 남현1길 40, 2층 (남현동)",한식,-,47.0,남현동,025863011, 
신안산낙지철판,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 봉천로 213-20, 1층 (봉천동)",한식,-,23.9,보라매동,028861265, 
양평해장국,관악구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 봉천로 229, (봉천동,(972번지 3호))",한식,-,40.4,보라매동,028752366, 
심가면옥,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 신림로 121, 2층 (신림동)",한식,-,62.5,대학동,028872777, 
예전,관악구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 관악구 봉천로 209, 7층 (봉천동, 롯데백화점)",한식,-,38.5,보라매동,028411701, 
또순이집,영등포구,Y,N,N,Y,N,트립어드바이저,"서울특별시 영등포구 선유로47길 16, (양평동4가,지상1층)",한식,"토시살,안등심",136.1,양평제2동,226722770, 
하루방 유황오리,도봉구,N,N,N,N,N,모범음식점,"서울특별시 도봉구 노해로63나길 8, (창동)",한식,오리,26.4,창제5동,029915292, 
송림각,도봉구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 방학로 223, (방학동,신동아상가)",중식,탕수육,32.5,방학제3동,234913334, 
야래향,은평구,Y,Y,N,N,Y,"모범음식점,안심식당,포장가능","서울특별시 은평구 통일로 1010, (진관동, B106,B107)",중식,"자장면, 탕수육",75.9,진관동,027523201, 
망향비빔국수,광진구,Y,N,N,Y,Y,"모범음식점,포장가능","서울특별시 광진구 천호대로 694, (구의동,(1층))",한식,비빔국수,51.9,구의제2동,024541357, 
횡성한우목장,용산구,Y,Y,N,N,N,모범음식점,"서울특별시 용산구 효창원로48길 6, (용문동)",한식,소갈비,42.3,용문동,027168592, 
동대구탕,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 오금로11길 55, 1층 105,106,107,108호 (방이동, 현대주상복합빌딩)",한식,대구탕,54.4,방이1동,024192828, 
을밀대,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 오금로15길 7-13, 지상1층 (방이동)",한식,평양냉면,69.4,방이1동,234325233, 
시골집,동작구,Y,N,N,Y,N,모범음식점,"서울특별시 동작구 양녕로26길 56, 2층 ,1층 나동 1호 (상도동)",한식,제육불고기,30.4,상도제4동,028218889, 
하나로회관,종로구,N,N,N,N,N,"모범음식점,씨트립,안심식당","서울특별시 종로구 인사동5길 25, (인사동)",한식,"불고기, 김치찌개",89.7,종로1.2.3.4가동,207327451, 
솔밭숯불갈비,종로구,N,N,N,N,N,모범음식점,"서울특별시 종로구 삼일대로28길 5, (낙원동)",한식,숯불갈비,22.1,종로1.2.3.4가동,207653055, 
청진옥,종로구,Y,N,N,N,Y,"모범음식점,블루리본,트립어드바이저","서울특별시 종로구 종로3길 32, 1~4층 (청진동)",한식,해장국,129.1,종로1.2.3.4가동,027351690, 
제주고깃집,성북구,N,N,N,N,Y,모범음식점,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)",한식,오겹살,36.9,보문동,-, 
성일한우정육점식당,성동구,Y,N,N,N,Y,트립어드바이저,"서울특별시 성동구 아차산로3길 9, 1~2층 (성수동1가)",한식,등심,27.2,성수1가제1동,-, 
종로진낙지,종로구,N,Y,N,N,Y,"모범음식점,씨트립","서울특별시 종로구 수표로 122, 1,2층 (낙원동)",한식,낙지,35.8,종로1.2.3.4가동,027420621, 
남대문막내횟집,종로구,N,Y,N,N,N,"모범음식점,안심식당,트립어드바이저,포장가능","서울특별시 종로구 우정국로 4-1, (관철동)",일식,회,27.8,종로1.2.3.4가동,027348653, 
풍년갈비,강북구,N,N,N,N,N,모범음식점,"서울특별시 강북구 솔샘로67길 132, (미아동)",한식,돼지갈비,36.0,송천동,029801631, 
감자탕을 만드는 형제들,은평구,N,N,N,N,N,모범음식점,"서울특별시 은평구 통일로83길 6-8, 1층 (갈현동)",한식,자장면,46.0,갈현제1동,023556338, 
송쉐프,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 백제고분로 357, 1~2층 (석촌동)",중식,"전가복, 게살볶음",101.6,석촌동,024211178, 
사랑채,마포구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 마포구 신촌로12가길 36, (노고산동)",한식,우거지갈비탕,33.3,대흥동,023364479, 
흥수갈비,은평구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 은평구 응암로13길 7, 1층 (응암동)",한식,돼지갈비,53.8,응암제1동,023026586, 
할매복집,중랑구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 공릉로 82, (묵동)",일식,복요리,47.8,묵제1동,029797606, 
시래불고기 화풍정,동작구,Y,Y,N,N,Y,모범음식점,"서울특별시 동작구 상도로 102, (상도동)",한식,한식(돼지갈비),41.9,상도제3동,028143392, 
영천영화,강남구,Y,Y,N,Y,Y,"모범음식점,포장가능","서울특별시 강남구 도산대로90길 3, (청담동,상민빌딩 1,2층)",한식,한우,174.6,청담동,234420381, 
옛가 칼국수,중랑구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 중랑구 중랑천로10길 39, (상봉동)",한식,칼국수,32.7,상봉제2동,024921555, 
미스터아구,노원구,Y,Y,Y,N,Y,"모범음식점,트립어드바이저,포장가능","서울특별시 노원구 덕릉로 744, 금강빌딩 1층 (상계동)",한식,아구찜,60.0,상계3.4동,029394020, 
메기 한마당,강북구,N,N,N,Y,N,모범음식점,"서울특별시 강북구 4.19로 36, (수유동)",한식,매운탕,33.5,수유제1동,029960180, 
유진막국수,용산구,Y,N,N,N,N,"모범음식점,블루리본,씨트립","서울특별시 용산구 장문로 18, (동빙고동,(지상1층))",한식,막국수,34.3,서빙고동,027972307, 
통나무집,은평구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 은평구 진흥로19길 6, 1~3층 (불광동)",한식,오리고기,74.7,불광제1동,023565533, 
통나무집,은평구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 은평구 진흥로19길 8, 1,2,3층 (불광동)",한식,"오리,닭",76.5,불광제1동,023565533, 
화수목,마포구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 마포구 창전로 70, 1,2층 (신수동)",중식,중식,195.9,신수동,-, 
